source_id,chunk_id,title,target_collection,use_mode,risk_scope,review_priority,review_status,issues,content_preview
CCI_DISORDERED_EATING,CCI_DISORDERED_EATING_d6d7d1c1_00001_482eb5c76aeb,Disordered Eating self-help resources,professional_knowledge,psychoeducation_only,normal,P1,pending,,"What Are Eating Disorders? Introduction 2 Eating Disorders: Myths and Facts 2 Do I Have an Eating Disorder? 3 Taking Your Physical Health Seriously 5 How Did I Get Here? 5 Recovery is Possible Ready, Set, Action A Word on Distress What to Expect from this Work"
CCI_DISORDERED_EATING,CCI_DISORDERED_EATING_d6d7d1c1_00004_4cf3fe598166,Disordered Eating self-help resources,professional_knowledge,psychoeducation_only,normal,P1,pending,,Welcome! This workbook has been developed by clinical psychologists who specialise in the treatment of eating disorders. You can use this workbook as a self-help guide to recovery from an eating disorder or you may wish to work through the modules with a m ent
CCI_DISORDERED_EATING,CCI_DISORDERED_EATING_d6d7d1c1_00005_60e7d0a49833,Disordered Eating self-help resources,professional_knowledge,psychoeducation_only,normal,P1,pending,,"This set of modules is designed to help you… • understand eating disorders and what keeps them going • normalise your eating behaviours • reduce other eating disorder behaviours, e.g. binge-eating, vomiting, laxative misuse, driven exercise • tolerate distress"
CCI_DISORDERED_EATING,CCI_DISORDERED_EATING_d6d7d1c1_00006_b157c48e78b2,Disordered Eating self-help resources,professional_knowledge,psychoeducation_only,normal,P1,pending,,It is important that you download or print off the Appendix – ‘Getting Educated about Eating Disorders’. This Appendix contains important information for you to read alongside the content of the modules. Throughout the modules you will see this symbol indicati
CCI_DISORDERED_EATING,CCI_DISORDERED_EATING_d6d7d1c1_00007_9533d6ad3813,Disordered Eating self-help resources,professional_knowledge,psychoeducation_only,normal,P1,pending,,"Let’s start by getting on the same page about eating disorders and debunk some of the myths surrounding these illnesses. Eating disorders affect people of all genders, ages, races, ethnicities, sexual orientations, and socio-economic backgrounds. People with e"
CCI_DISORDERED_EATING,CCI_DISORDERED_EATING_d6d7d1c1_00008_4187c24d4cb2,Disordered Eating self-help resources,professional_knowledge,psychoeducation_only,normal,P1,pending,,"Eating disorders are not lifestyle choices, ‘phases’ that young people grow out of or ‘diets gone too far’. They are serious mental illnesses that can have a severe impact on physical health, relationships, work, mood, and quality of life. Eating disorders car"
CCI_DISORDERED_EATING,CCI_DISORDERED_EATING_d6d7d1c1_00009_68cbe239444b,Disordered Eating self-help resources,professional_knowledge,psychoeducation_only,normal,P1,pending,,"It is not all doom and gloom when it comes to eating disorders. Full recovery from an eating di sorder is absolutely possible. Early detection and treatment are important, but full recovery is possible at any age and no matter how long you have been struggling"
CCI_DISORDERED_EATING,CCI_DISORDERED_EATING_d6d7d1c1_00010_a1d4aecde1f4,Disordered Eating self-help resources,professional_knowledge,psychoeducation_only,normal,P1,pending,,"Break Free From ED Module 1: What Are Eating Disorders? D o I Have an Eating Disorder? I t is nearly impossible to get through a whole day without hearing some sort of dietary or exercise advice from a friend, colleague, or the media. We are constantly hearing"
CCI_DISORDERED_EATING,CCI_DISORDERED_EATING_d6d7d1c1_00011_98a170e20dd9,Disordered Eating self-help resources,professional_knowledge,psychoeducation_only,normal,P1,pending,,"A fter you have read about the eating disorder diagnoses, you can get a better idea of whether you might have symptoms of an eating disorder by filling out the following table. Never Sometimes Often Very Often I try to eat as little as possible, even if I am h"
CCI_DISORDERED_EATING,CCI_DISORDERED_EATING_d6d7d1c1_00013_8b6af2437ace,Disordered Eating self-help resources,professional_knowledge,psychoeducation_only,normal,P1,pending,,"If you answered Often or Very Often to many of the above items, you are in the right place. If these thoughts and behaviours are impacting your physical health, mental health, and/or quality of life, you may have an eating disorder. Some of the key symptoms of"
